WINDOWS
miemienet-0.1
num_threads=12
create Param, id=19950817, dims=4, numel=2400
create Param, id=19950818, dims=4, numel=96
create Param, id=19950819, dims=4, numel=9216
create Param, id=19950820, dims=4, numel=96
create Param, id=19950821, dims=4, numel=2400
create Param, id=19950822, dims=4, numel=96
create Param, id=19950823, dims=4, numel=9216
create Param, id=19950824, dims=4, numel=96
create Param, id=19950825, dims=4, numel=9216
create Param, id=19950826, dims=4, numel=96
create Param, id=19950827, dims=4, numel=9216
create Param, id=19950828, dims=4, numel=96
create Param, id=19950829, dims=4, numel=2400
create Param, id=19950830, dims=4, numel=96
create Param, id=19950831, dims=4, numel=9216
create Param, id=19950832, dims=4, numel=96
create Param, id=19950833, dims=4, numel=2400
create Param, id=19950834, dims=4, numel=96
create Param, id=19950835, dims=4, numel=9216
create Param, id=19950836, dims=4, numel=96
create Param, id=19950837, dims=4, numel=9216
create Param, id=19950838, dims=4, numel=96
create Param, id=19950839, dims=4, numel=9216
create Param, id=19950840, dims=4, numel=96
create Param, id=19950841, dims=4, numel=2400
create Param, id=19950842, dims=4, numel=96
create Param, id=19950843, dims=4, numel=9216
create Param, id=19950844, dims=4, numel=96
create Param, id=19950845, dims=4, numel=2400
create Param, id=19950846, dims=4, numel=96
create Param, id=19950847, dims=4, numel=9216
create Param, id=19950848, dims=4, numel=96
create Param, id=19950849, dims=4, numel=9216
create Param, id=19950850, dims=4, numel=96
create Param, id=19950851, dims=4, numel=9216
create Param, id=19950852, dims=4, numel=96
create Param, id=19950853, dims=4, numel=2400
create Param, id=19950854, dims=4, numel=96
create Param, id=19950855, dims=4, numel=9216
create Param, id=19950856, dims=4, numel=96
create Param, id=19950857, dims=4, numel=2400
create Param, id=19950858, dims=4, numel=96
create Param, id=19950859, dims=4, numel=9216
create Param, id=19950860, dims=4, numel=96
create Param, id=19950861, dims=4, numel=9216
create Param, id=19950862, dims=4, numel=96
create Param, id=19950863, dims=4, numel=9216
create Param, id=19950864, dims=4, numel=96
create Param, id=19950865, dims=4, numel=432
create Param, id=19950866, dims=4, numel=16
create Param, id=19950867, dims=4, numel=144
create Param, id=19950868, dims=4, numel=16
create Param, id=19950869, dims=4, numel=384
create Param, id=19950870, dims=4, numel=24
create Param, id=19950871, dims=4, numel=216
create Param, id=19950872, dims=4, numel=24
create Param, id=19950873, dims=4, numel=1152
create Param, id=19950874, dims=4, numel=48
create Param, id=19950875, dims=4, numel=432
create Param, id=19950876, dims=4, numel=48
create Param, id=19950877, dims=4, numel=2304
create Param, id=19950878, dims=4, numel=48
create Param, id=19950879, dims=4, numel=432
create Param, id=19950880, dims=4, numel=48
create Param, id=19950881, dims=4, numel=4608
create Param, id=19950882, dims=4, numel=96
create Param, id=19950883, dims=4, numel=864
create Param, id=19950884, dims=4, numel=96
create Param, id=19950885, dims=4, numel=9216
create Param, id=19950886, dims=4, numel=96
create Param, id=19950887, dims=4, numel=864
create Param, id=19950888, dims=4, numel=96
create Param, id=19950889, dims=4, numel=18432
create Param, id=19950890, dims=4, numel=192
create Param, id=19950891, dims=4, numel=4800
create Param, id=19950892, dims=4, numel=192
create Param, id=19950893, dims=4, numel=36864
create Param, id=19950894, dims=4, numel=192
create Param, id=19950895, dims=4, numel=4800
create Param, id=19950896, dims=4, numel=192
create Param, id=19950897, dims=4, numel=36864
create Param, id=19950898, dims=4, numel=192
create Param, id=19950899, dims=4, numel=4800
create Param, id=19950900, dims=4, numel=192
create Param, id=19950901, dims=4, numel=36864
create Param, id=19950902, dims=4, numel=192
create Param, id=19950903, dims=4, numel=4800
create Param, id=19950904, dims=4, numel=192
create Param, id=19950905, dims=4, numel=36864
create Param, id=19950906, dims=4, numel=192
create Param, id=19950907, dims=4, numel=4800
create Param, id=19950908, dims=4, numel=192
create Param, id=19950909, dims=4, numel=36864
create Param, id=19950910, dims=4, numel=192
create Param, id=19950911, dims=4, numel=4800
create Param, id=19950912, dims=4, numel=192
create Param, id=19950913, dims=4, numel=73728
create Param, id=19950914, dims=4, numel=384
create Param, id=19950915, dims=4, numel=9216
create Param, id=19950916, dims=4, numel=48
create Param, id=19950917, dims=4, numel=9216
create Param, id=19950918, dims=4, numel=192
create Param, id=19950919, dims=4, numel=9600
create Param, id=19950920, dims=4, numel=384
create Param, id=19950921, dims=4, numel=147456
create Param, id=19950922, dims=4, numel=384
create Param, id=19950923, dims=4, numel=36864
create Param, id=19950924, dims=4, numel=96
create Param, id=19950925, dims=4, numel=36864
create Param, id=19950926, dims=4, numel=384
create Param, id=19950927, dims=4, numel=9216
create Param, id=19950928, dims=4, numel=96
create Param, id=19950929, dims=4, numel=18432
create Param, id=19950930, dims=4, numel=96
create Param, id=19950931, dims=4, numel=36864
create Param, id=19950932, dims=4, numel=96
create Param, id=19950933, dims=4, numel=2400
create Param, id=19950934, dims=4, numel=96
create Param, id=19950935, dims=4, numel=9216
create Param, id=19950936, dims=4, numel=96
create Param, id=19950937, dims=4, numel=2400
create Param, id=19950938, dims=4, numel=96
create Param, id=19950939, dims=4, numel=9216
create Param, id=19950940, dims=4, numel=96
create Param, id=19950941, dims=4, numel=4800
create Param, id=19950942, dims=4, numel=192
create Param, id=19950943, dims=4, numel=36864
create Param, id=19950944, dims=4, numel=192
create Param, id=19950945, dims=4, numel=4800
create Param, id=19950946, dims=4, numel=192
create Param, id=19950947, dims=4, numel=18432
create Param, id=19950948, dims=4, numel=96
create Param, id=19950949, dims=4, numel=4800
create Param, id=19950950, dims=4, numel=192
create Param, id=19950951, dims=4, numel=36864
create Param, id=19950952, dims=4, numel=192
create Param, id=19950953, dims=4, numel=4800
create Param, id=19950954, dims=4, numel=192
create Param, id=19950955, dims=4, numel=18432
create Param, id=19950956, dims=4, numel=96
create Param, id=19950957, dims=4, numel=4800
create Param, id=19950958, dims=4, numel=192
create Param, id=19950959, dims=4, numel=36864
create Param, id=19950960, dims=4, numel=192
create Param, id=19950961, dims=4, numel=4800
create Param, id=19950962, dims=4, numel=192
create Param, id=19950963, dims=4, numel=18432
create Param, id=19950964, dims=4, numel=96
create Param, id=19950965, dims=4, numel=4800
